                              IERS Bulletin A                   No. 1574
                  Values of Earth Orientation Parameters *
   YR MO DA   MJD        x     error      y     error   UT1-UTC   error
   12 11  1  56232   0.14335 0.00003  0.31132 0.00003  0.343950 0.000004
   12 11  2  56233   0.14247 0.00002  0.31123 0.00003  0.343227 0.000004
   12 11  3  56234   0.14152 0.00002  0.31104 0.00003  0.342539 0.000004
   12 11  4  56235   0.14063 0.00003  0.31038 0.00003  0.341798 0.000004
   12 11  5  56236   0.13965 0.00003  0.30946 0.00003  0.340956 0.000004
   12 11  6  56237   0.13874 0.00003  0.30843 0.00003  0.340001 0.000006
   12 11  7  56238   0.13811 0.00003  0.30761 0.00003  0.338947 0.000007
   12 11  8  56239   0.13773 0.00003  0.30697 0.00003  0.337730 0.000010
   12 11  9  56240   0.13740 0.00003  0.30674 0.00003  0.336379 0.000010
   12 11 10  56241   0.13642 0.00002  0.30681 0.00003  0.335000 0.000010
   12 11 11  56242   0.13517 0.00003  0.30664 0.00003  0.333547 0.000006
   12 11 12  56243   0.13426 0.00003  0.30624 0.00002  0.332025 0.000006
   12 11 13  56244   0.13335 0.00003  0.30582 0.00002  0.330531 0.000006
   12 11 14  56245   0.13233 0.00003  0.30559 0.00002  0.329136 0.000003
   12 11 15  56246   0.13127 0.00003  0.30540 0.00003  0.327823 0.000003
   12 11 16  56247   0.13040 0.00003  0.30498 0.00003  0.326523 0.000003
   12 11 17  56248   0.12997 0.00002  0.30459 0.00002  0.325211 0.000005
   12 11 18  56249   0.12960 0.00003  0.30459 0.00003  0.323785 0.000006
   12 11 19  56250   0.12885 0.00003  0.30449 0.00003  0.322188 0.000005
   12 11 20  56251   0.12771 0.00002  0.30413 0.00002  0.320471 0.000006
   12 11 21  56252   0.12627 0.00002  0.30371 0.00002  0.318732 0.000006
   12 11 22  56253   0.12483 0.00003  0.30303 0.00002  0.317009 0.000006
   12 11 23  56254   0.12371 0.00003  0.30229 0.00002  0.315331 0.000006
   12 11 24  56255   0.12276 0.00002  0.30176 0.00002  0.313747 0.000006
   12 11 25  56256   0.12144 0.00003  0.30129 0.00002  0.312336 0.000004
   12 11 26  56257   0.12038 0.00003  0.30070 0.00002  0.311061 0.000004
   12 11 27  56258   0.12009 0.00003  0.30042 0.00002  0.309888 0.000004
   12 11 28  56259   0.11976 0.00003  0.30058 0.00002  0.308849 0.000003
   12 11 29  56260   0.11926 0.00002  0.30062 0.00002  0.307913 0.000003
   12 11 30  56261   0.11887 0.00003  0.30052 0.00002  0.307011 0.000002
   12 12  1  56262   0.11844 0.00002  0.30022 0.00002  0.306140 0.000002
   12 12  2  56263   0.11772 0.00003  0.29980 0.00003  0.305187 0.000002
   12 12  3  56264   0.11667 0.00003  0.29945 0.00003  0.304151 0.000002
   12 12  4  56265   0.11582 0.00002  0.29928 0.00003  0.303042 0.000004
   12 12  5  56266   0.11513 0.00003  0.29946 0.00003  0.301839 0.000003
   12 12  6  56267   0.11408 0.00003  0.29945 0.00003  0.300538 0.000004
   12 12  7  56268   0.11253 0.00003  0.29930 0.00003  0.299175 0.000003
   12 12  8  56269   0.11080 0.00002  0.29903 0.00003  0.297825 0.000004
   12 12  9  56270   0.10959 0.00003  0.29838 0.00003  0.296469 0.000003
   12 12 10  56271   0.10863 0.00003  0.29771 0.00002  0.295125 0.000003
   12 12 11  56272   0.10741 0.00003  0.29711 0.00002  0.293898 0.000003
   12 12 12  56273   0.10615 0.00003  0.29671 0.00003  0.292808 0.000002
   12 12 13  56274   0.10475 0.00003  0.29632 0.00003  0.291842 0.000005
   12 12 14  56275   0.10305 0.00003  0.29562 0.00003  0.290943 0.000005
   12 12 15  56276   0.10107 0.00003  0.29481 0.00003  0.290034 0.000009
   12 12 16  56277   0.09901 0.00003  0.29397 0.00003  0.289030 0.000009
   12 12 17  56278   0.09682 0.00003  0.29336 0.00003  0.287947 0.000006
   12 12 18  56279   0.09471 0.00002  0.29264 0.00003  0.286819 0.000007
   12 12 19  56280   0.09306 0.00004  0.29181 0.00003  0.285701 0.000005
   12 12 20  56281   0.09150 0.00004  0.29132 0.00003  0.284677 0.000005
   12 12 21  56282   0.08999 0.00004  0.29117 0.00002  0.283801 0.000005
   12 12 22  56283   0.08860 0.00004  0.29110 0.00003  0.283060 0.000005
   12 12 23  56284   0.08751 0.00004  0.29074 0.00002  0.282345 0.000007
   12 12 24  56285   0.08687 0.00004  0.29035 0.00003  0.281676 0.000006
   12 12 25  56286   0.08634 0.00003  0.29026 0.00003  0.281109 0.000012
   12 12 26  56287   0.08570 0.00004  0.29040 0.00003  0.280622 0.000004
   12 12 27  56288   0.08472 0.00004  0.29051 0.00003  0.280162 0.000005
   12 12 28  56289   0.08293 0.00004  0.29046 0.00003  0.279708 0.000005
   12 12 29  56290   0.08080 0.00004  0.29021 0.00003  0.279246 0.000005
   12 12 30  56291   0.07899 0.00004  0.28998 0.00003  0.278656 0.000005
